Name,Lat,Long
Bernard Street Parkie Garsfontein,-25.799820°,28.311900°
Borzoi Park,-25.801270°,28.313460°
Garsfontein Tennis and Skate Park,-25.788910°,28.285950°
Hillside Bussiness Park,-25.768010°,28.266950°
Hillside Sirkel Park,-25.769194°,28.264861°
Moreleta Nature Reserve,-25.815480°,28.291690°
Pretorius Park,-25.811150°,28.304700°
Pro Arte Alphen Park,-25.781970°,28.263810°
Jalapeno Park,-25.747100°,28.096530°
Colbyn Golf Park,-25.741170°,28.248400°
Swaan Street Park,-25.708330°,28.288310°
Springbok Park,-25.745340°,28.237190°
Kraanvoel park,-25.730630°,28.321000°
Jacobson Drive Park,-25.765050°,28.296490°
Spain Park,-25.741480°,28.152070°
Bontle ke Bothe Park,-25.741370°,28.139220°
Schneider Ave Park,-25.740310°,28.108430°
Joos Becker Caravan Park,-25.696890°,28.184260°
Visarend street park,-25.803340°,28.223300°
Parsley Park,-25.671560°,28.202960°
Jackson Van Zyl Park,-25.677630°,28.156680°
Jopie Fourie St Park,-25.663230°,28.162630°
Alwyn Park,-25.686220°,28.195490°
17th Ave Park,-25.705350°,28.214300°
Kuyper Avev Park,-25.699410°,28.216730°
Aerangis park,-25.708950°,28.216730°
Braam Pretorius Park,-25.686450°,28.274090°
Breyer Ave Park,-25.697880°,28.265870°
Combrink Park,-25.725430°,28.241030°
Cooper Park,-25.71451°,28.21714°
Peerboom st park,-25.650150°,28.229120°
Queenswood Park,-25.729350°,28.248118°
Pierre v. Ryneveld Park,-25.835550°,28.245780°
Fluer Park,-25.821243°,28.208387°
Elarduspark Park,-25.829500°,28.248972°
Monument Park Parkie,-25.799580°,28.234710°
Gabbro St Park,-25.839520°,28.262990°
Gezina Netbal Club & Korbal Park,-25.716860°,28.206990°
Jan Cilliers Park (Protea Park),-25.778033°,28.225117°
Freedom Park,-25.764986°,28.021886°
Jubilee Park,-25.753333°,28.203611°
Loveday Street Park,-25.760000°,28.210522°
Myrtle Park,-25.752810°,28.216360°
Zita Park,-25.792590°,28.292780°
Camille Straat Park,-25.794160°,28.303370°
Dvorak Street Park,-25.803270°,28.290070°
Niemeyer Square Park,-25.770000°,28.239730°
Hofmeyr park,-25.760960°,28.253980°
Atteridgeville Park,-25.777675°,28.069585°
Mphoka Park,-25.784350°,28.039140°
Moretologa Park,-25.784400°,28.032570°
Fidas Park,-25.767670°,28.080680°
Ga Mothakga Resort,-25.762890°,28.069060°
Jorissen Street,-25.757278°,28.213306°
Kotze Street,-25.755304°,28.208188°
Hans Moolman Park,-25.753600°,28.112483°
Monate Park,-25.900260°,28.101460°
Kiepersol Ave Park,-25.755360°,28.138278°
Cradock Ave Park,-25.817960°,28.199030°
The Bye Park,-25.837990°,28.164520°
Erasmia circle park,-25.811960°,28.090070°
Senekal park,-25.874610°,28.153210°
Van Riebeeck Road,-25.790830°,28.147540°
Rooihuiskraal Historical Park,-25.883650°,28.144270°
Ellips straat park,-25.738680°,28.326320°
Pienaar Dr Park,-25.739520°,28.311390°
Moretele Nature Reserve,-25.703067°,28.359865°
Ostrich Park,-25.698420°,28.307960°
King Fisher park,-25.702970°,28.308650°
Ekangala Section F Park,-25.658150°,28.725560°
New Thematic Park,-25.662150°,28.739190°
Letlotlo Middle School,-25.502560°,28.072660°
Retlilepele Primary School,-25.511900°,28.076960°
Setumo-Khiba Middle School,-25.512600°,28.075367°
Tsibogo Middle School,-25.497790°,28.037790°
Bafeti Middle school,-25.511970°,28.066820°
Nong Primary School,-25.518880°,28.052621°
Matsediso School,-25.522030°,28.065810°
Reatlegile Primary School,-25.509800°,28.026100°
Tsewe Primary School,-25.490430°,28.005600°
TIPFUXENI PRIMARY SCHOOL,-25.528600°,28.088130°
TIYELELANI SECONDARY SCHOOL,-25.529340°,28.086770°
MEMEZELO SECONDARY SCHOOL,-25.503184°,28.094170°
MORULA VIEW PRIMARY SCHOOL,-25.525435°,28.044843°
REKOPANTSE PRIMARY SCHOOL,-25.517889°,28.049083°
PELOTONA MIDDLE SCHOOL,-25.516500°,28.040640°
D.A. MOKOMA SECONDARY SCHOOL,-25.515940°,28.049490°
DR. A.T. MOREOSELE SECONDARY SCHOOL,-25.507380°,28.038293°
RADINEO PRIMARY SCHOOL,-25.497650°,28.039933°
BOTSALO PRIMARY SCHOOL,-25.508212°,28.055099°
KOPA DILALELO PRIMARY SCHOOL,-25.515537°,28.068629°
NGAKA MASEKO HIGH SCHOOL,-25.489360°,28.049910°
ABEL MOTSHOANE HIGH SCHOOL,-25.481430°,28.043400°
EMA PRIMARY SCHOOL,-25.482751°,28.045857°
FR. SMANGALISO MKHATSHWA SECONDARY SCHOOL,-25.482923°,28.045894°
MABOPANE HIGH SCHOOL,-25.500760°,28.061700°
IKELENG PRIMARY SCHOOL,-25.486260°,28.052100°
DITSHABA PRIMARY SCHOOL,-25.500150°,28.061467°
TIDIMALONG PRIMARY PRIMARY,-25.478280°,28.050290°
MARULA PRIMARY SCHOOL,-25.506737°,28.070087°
SOSHANGAAN PRIMARY SCHOOL,-25.500755°,28.067977°
MATSEKE PRIMARY SCHOOL,-25.514208°,28.077436°
SUNVALLEY PRIMARY SCHOOL,-25.523615°,28.079682°
Ikhwezilethemba Intermediary S,-25.507460°,28.095420°
REDIBONE PRIMARY SCHOOL,-25.515850°,28.095420°
Mapenane School,-25.588517°,27.983300°
Sjambok Primary,-25.564880°,28.042170°
Rosslyn Primary School,-25.626290°,28.055600°
RODNEY MOKOENA PREPARATORY SCHOOL,-25.553680°,28.068060°
REFITHLILE PELE PRIMARY SCHOOL NO 1,-25.559630°,28.069460°
BOKAMOSO PRIMARY SCHOOL,-25.584270°,28.082760°
THORNTREE PRIMARY SCHOOL,-25.593000°,28.079583°
SOSHANGUVE SOUTH SECONDARY SCHOOL,-25.576167°,28.059389°
AYANDA PRIMARY SCHOOL,-25.575521°,28.061298°
ITUMELENG MADIBA PRIMARY SCHOOL,-25.567480°,28.063810°
CENTRAL SECONDARY SCHOOL,-25.560321°,28.080585°
SHALOM PRIMARY SCHOOL,-25.555260°,28.078300°
GONTSE PRIMARY SCHOOL,-25.569446°,28.072362°
SINQOBILE PRIMARY SCHOOL,-25.498935°,28.110190°
Matlapeng primary school,-25.560150°,28.078960°
Curro Academic,-25.573810°,28.093490°
Sinqobile Primary School,-25.549380°,28.086020°
Bolokanang school,-25.609850°,28.000340°
TIM MODISE PRIMARY SCHOOL,-25.607683°,28.009700°
Ikangeng Primary School,-25.611761°,28.001344°
TLOTLOMPHO PRIMARY SCHOOL,-25.615450°,27.991250°
LEKGALONG PRIMARY,-25.615150°,27.979000°
TOKYO SEXWALE PRIMARY SCHOOL,-25.609865°,27.995315°
Molefe-Mooke Primary School,-25.383550°,28.192810°
BOKAMOSO HIGH SCHOOL,-25.395828°,28.152068°
Modilati Secondary School,-25.395520°,28.155910°
Motjibosane Primary,-25.391510°,28.177810°
Namo Primary School,-25.389770°,28.161670°
Ntswane High School,-25.393200°,28.188710°
Redirile Primary School,-25.410320°,28.133100°
LORATONG PRIMARY SCHOOL,-25.406210°,28.167090°
REFENTSE,-25.379820°,28.171400°
Marotola Primary School,-25.412570°,28.154560°
Ramabele Middle School,-25.414290°,28.138430°
Rakgotse High School,-25.399180°,28.134800°
Kgomba primary school,-25.402840°,28.134850°
Fatlhogang Primary School,-25.396160°,28.169430°
Tipfuxeni Secondary School,-25.391890°,28.170830°
Boikanyo Primary School,-25.598453°,27.996341°
Bethesda special school,-25.572400°,28.015560°
PATOGENG PRIMARY,-25.555990°,28.054100°
LEBOGANG PRIMARY SCHOOL,-25.599982°,27.979738°
MAROPENG PRIMARY SCHOOL,-25.595530°,27.976390°
RANTAILANE HIGH SCHOOL,-25.595860°,27.986610°
HL SETLALENTOA SECONDARY SCHOOL,-25.596270°,27.994960°
BODUBELO PRIMARY,-25.587920°,27.977040°
MAPENANE PRIMARY SCHOOL,-25.589210°,27.983270°
LOWE PRIMARY SCHOOL,-25.587545°,27.981806°
RAKALE THABONG PRIMARY SCHOOL,-25.595340°,28.009560°
BACHANA MOKWENA PRIMARY SCHOOL,-25.549650°,27.985317°
TEBOGWANA HIGH SCHOOL,-25.576017°,28.017133°
NM TSUENE HIGH SCHOOL,-25.595467°,28.018233°
MODIRI SECONDARY SCHOOL,-25.604600°,27.994040°
A RETHABENG PRIMARY SCHOOL,-25.542600°,28.105570°
BOEPATHUTSE JUNIOR SECONDARY,-25.511520°,28.104740°
DC MARIVATE JUNIOR SECONDARY SCHOOL,-25.521790°,28.104970°
