Name,Lat,Long
Pretoria Primary school,-25.756270°,28.197520°
Sunnyside Primary School,-25.804567°,-25.756650°
Vhalliespark Primary School,-25.8052298,28.1519383
Hoërskool Hendrik Verwoerd,-25.723500°,28.216950°
Waterkloof Primary School,-25.776800°,28.240067°
Laerskool Totiusdal,-25.701440°,28.246240°
Hoërskool Wonderboom,-25.694483°,28.198750°
Laerskool Wonderboom-Suid,-25.705467°,28.206617°
Laerskool Constantiapark,-25.806400°,28.282383°
American Institution School,-25.801919°,28.325314°
NDIMA PRIMARY SCHOOL,-25.704630°,28.348700°
Tshegofatsong,-25.726180°,28.386240°
Reneilwe Adult school,-25.703250°,28.371450°
Waterkloof House Prep School,-25.766820°,28.231860°
Laerskool Lynnwood,-25.760480°,28.268490°
Hoërskool Menlopark,-25.765433°,28.259683°
Laerskool Menlopark,-25.767717°,28.254367°
Hofmeyr park,-25.760960°,28.253980°
Pretoria High School For Girls,-25.750230°,28.228280°
Pretoria Secondary School,-25.751290°,28.195780°
Loreto Convent School,-25.751700°,28.185110°
Afrikaanse Hoër Seunskool,-25.755493°,28.221478°
Hoërskool Waterkloof,-25.819730°,28.257290°
ST ANNES PRIMARY SCHOOL,-25.762840°,28.086370°
HOLY TRINITY,-25.762400°,28.086467°
J.J De Jong,-25.763700°,28.078767°
SAULRIDGE SECONDARY SCHOOL,-25.768067°,28.064717°
BUD MBELLE PRIMARY SCHOOL,-25.767595°,28.065492°
HOFMEYR SECONDARY SCHOOL,-25.769460°,28.073010°
BATHOKWA PRIMARY SCHOOL,-25.766970°,28.054120°
ESIKHISINI PRIMARY SCHOOL,-25.768428°,28.053112°
FLAVIUS MAREKA SECONDARY SCHOOL.,-25.769340°,28.055964°
MAREMATLOU PRIMARY SCHOOL,-25.771250°,28.077240°
THOHO-YA-NDOU PRIMARY SCHOOL,-25.770867°,28.050467°
MAKGATHO PRIMARY SCHOOL,-25.774250°,28.062560°
MABAFENG PRIMARY SCHOOL,-25.777020°,28.065030°
BANARENG PRIMARY SCHOOL,-25.780270°,28.065860°
ISAAC MORE PRIMARY SCHOOL,-25.774040°,28.079630°
PATOGENG PRIMARY SCHOOL,-25.778430°,28.069710°
SEAPARANKWE PRIMARY SCHOOL,-25.776910°,28.079050°
MASIZANI PRIMARY SCHOOL,-25.774100°,28.049833°
EDWARD PHATUDI SECONDARY SCHOOL,-25.777800°,28.050800°
PHELINDABA SECONDARY SCHOOL,-25.762600°,28.076872°
MAHLAHLE PRIMARY SCHOOL,-25.779333°,28.053550°
PHUTHADITSHABA PRIMARY,-25.782267°,28.045983°
MOTSWEDING PRIMARY SCHOOL,-25.782380°,28.060980°
Dr Wf Nkomo Secondary S.,-25.777720°,28.073820°
Makgwaraneng Primary School,-25.781133°,28.064983°
CAE Golelwe School,-25.772710°,28.070040°
Zodwa Special School,-25.775170°,28.089510°
Walter Sizulu Primary,-25.909533°,28.099000°
Laerskool Bakenkop,-25.869280°,28.153223°
Olievenhoutbosch Secondary School,-25.920110°,28.086480°
Olievenhoutbosh Christian School,-25.921600°,28.090470°
Orefile Primary School,-25.912980°,28.110750°
Philena Middle School,-25.916850°,28.095517°
Seshegong Secondary School,-25.909150°,28.086720°
Wierda Park Primary School,-25.865260°,28.142940°
Laerskool Hennopspark,-25.851717°,28.169933°
Springvale Primary School,-25.857567°,28.148567°
Alpha Centurion Runners,-25.835460°,28.162970°
Sutherland High School,-25.841720°,28.143460°
Erasmia Primary School,-25.812995°,28.095693°
Laerskool Swartkop,-25.819917°,28.146100°
Valhalla Primary School,-25.814333°,28.143833°
Irene Middel School,-25.877330°,28.228140°
Laerskool Fleur School,-25.820383°,28.210150°
Hoërskool Zwartkop,-25.848930°,28.166290°
Hoërskool Centurion,-25.830083°,28.199233°
Laerskool Louis Leipoldt,-25.836250°,28.203967°
Lyttelton Manor High School,-25.834560°,28.201470°
Lyttelton Primary School,-25.826578°,28.200049°
Hoërskool Voortrekkerhoogte,-25.791778°,28.156778°
KGABO PRIMARY SCHOOL,-25.773170°,28.066730°
N'WA MHINGA PRIMARY SCHOOL,-25.779070°,28.059980°
Hoërskool Eldoraigne,-25.841510°,28.148300°
Andrew Anthony Primary School,-25.784060°,28.101960°
Hillside Primary School,-25.783520°,28.095420°
Himalaya Secondary School,-25.781310°,28.100930°
Jacaranda Primary School,-25.792830°,28.100570°
Laudium Heights Primary School,-25.783230°,28.097760°
Laudium Primary School,-25.787143°,28.100669°
Laudium Secondary School,-25.788333°,28.098717°
Itereleng School,-25.789270°,28.074990°
Shree Preoria Hindu Seva Samaj,-25.792020°,28.103180°
Al-Asr Secondary School,-25.794250°,28.113210°
Central Islamic School,-25.79007°,28.10129°
Sunrise School,-25.78909°,28.11035°
Pretoria Muslem School,-25.788870°,28.106150°
Laerskool Wierdapark,-25.854583°,28.141150°
Laerskool Rooihuiskraal,-25.889690°,28.151920°
Laerskool Doringkloof,-25.860583°,28.203883°
Epower/ Ratanang Creche,-25.848060°,28.095190°
Rosina Sedibane Modiba sport school,-25.78214°,28.10926°
Tshwane Muslim School,-25.795910°,28.095060°
Rietondale Primary School,-25.731997°,28.219555°
Sedibeng Primary School,-25.637700°,28.530200°
Onverwacht Primary School,-25.603800°,28.599030°
Laerskool Rayton,-25.743670°,28.526620°
Laerskool Uitsig,-25.898750°,28.131567°
Hoerskool Cullinan,-25.677680°,28.523930°
Hoërskool Uitsig,-25.897900°,28.138130°
Chipa Thabane School,-25.641510°,28.528840°
Chokoe Primary School,-25.647350°,28.529690°
Hoërskool F H Odendaal,-25.415483,28.17931
Sonitus Skool,-25.700490°,28.291240°
Eersterust Sekondêr,-25.712833°,28.311167°
Fred Magardie Primary School,-25.712970°,28.317630°
Norridge Park Primary,-25.706630°,28.314750°
P S Fourie Primary,-25.714683°,28.312100°
Prosperitus Sekondêr,-25.701640°,28.303370°
Curro College Hazeldean,-25.775789°,28.378850°
Laerskool Derdepoort,-25.702400°,28.287700°
La Montagne Primary School,-25.745252°,28.323189°
SHIRINDA PRIMARY SCHOOL,-25.705129°,28.330683°
ORA ET LABORA PRIMARY SCHOOL,-25.712830°,28.327680°
EMTHUNZINI PRIMARY SCHOOL,-25.706020°,28.336420°
UMTHOMBO PRIMARY SCHOOL,-25.711520°,28.335180°
JAFTA MAHLANGU SECONDARY SCHOOL,-25.703680°,28.339560°
BOHLABATSATSI PRIMARY SCHOOL,-25.712810°,28.340270°
F.F. RIBIERO PRIMARY SCHOOL (EX NTSHABOHLOKO):1997,-25.714390°,28.343930°
MORAKOMA PRIMARY SCHOOL,-25.710970°,28.343970°
MORETELE PRIMARY SCHOOL,-25.713460°,28.358530°
PHELADI-NAKENE PRIMARY SCHOOL,-25.711760°,28.355390°
VUKANI MAWETHU SECONDARY SCHOOL,-25.709740°,28.362850°
MAMELODI SECONDARY SCHOOL,-25.710070°,28.363940°
MODIRI TECHNICAL SCHOOL,-25.706947°,28.365930°
REFENTSE PRIMARY SCHOOL,-25.705800°,28.360270°
VLAKFONTEIN SECONDARY SCHOOL,-25.706050°,28.366210°
EZAZI PRIMARY SCHOOL,-25.714430°,28.349854°
TSHIMOLLO PRIMARY SCHOOL,-25.715875,28.3485339
J KEKANA SECONDARY SCHOOL,-25.708133°,28.352417°
Agnes Chidi Primary School,-25.715750°,28.351740°
Dr Im Monare Primary School,-25.711510°,28.361540°
FUNANANI CHRISTIAN SCHOOL,-25.704100°,28.363590°
Laerskool Meyerspark,-25.740060°,28.315790°
Kutumela-Molefi Intm. Farm School,-25.754100°,28.419233°
Bona Lesedi Middle School,-25.702750°,28.412240°
NELLMAPIUS PRIMARY SCHOOL,-25.737080°,28.350200°
JAN KOTLOLO PRIMARY SCHOOL,-25.730260°,28.361990°
LOMPEC INDEPENDENT PRIMARY AND SECONDARYSCHOOL,-25.705510°,28.375786°
MONONONG PRIMARY SCHOOL,-25.703720°,28.380280°
SINDAWONYE PRIMARY SCHOOL,-25.710330°,28.369950°
MVELEDZO PRIMARY SCHOOL,-25.716450°,28.369090°
TLAKUKANI PRIMARY SCHOOL,-25.715320°,28.368540°
PULA-DIFATE PRIMARY SCHOOL,-25.713140°,28.376370°
PHATENG SECONDARY SCHOOL,-25.721200°,28.371580°
MOTHEO PRIMARY SCHOOL,-25.705190°,28.381820°
VUKAUZENZELE PRIMARY SCHOOL,-25.739410°,28.374050°
BOIKGANTSHO PRIMARY SCHOOL,-25.718815,28.3849445
RIBANE-LAKA SECONDARY SCHOOL,-25.717320°,28.384880°
SOLOMON MAHLANGO FREEDOM SCHOOL (EX IZIKHULU):1997,-25.719760°,28.384590°
N'WA-VANGANI PRIMARY SCHOOL,-25.723510°,28.386900°
UOANE PRIMARY SCHOOL,-25.709550°,28.386630°
SIKHANYISELE PRIMARY SCHOOL,-25.714480°,28.387251°
BALEBOGENG PRIMARY SCHOOL,-25.706843,28
MOGALE PRIMARY SCHOOL,-25.721490°,28.392823°
LEHLABILE SECONDARY SCHOOL,-25.712780°,28.389800°
GATANG SECONDARY SCHOOL,-25.721840°,28.395110°
BAJABULILE PRIMARY SCHOOL,-25.714970°,28.392840°
RETHAKGETSE PRIMARY SCHOOL,-25.706470°,28.389870°
STANZA BOPAPE SECONDARY SCHOOL,-25.702833°,28.389017°
BULA-DIKGORO PRIMARY SCHOOL,-25.704700°,28.398750°
PFUNZO NDI TSHEDZA,-25.721720°,28.404710°
NELLMAPIUS SECONDARY SCHOOL,-25.738840°,28.351370°
Emasangwene Primary School,-25.707910°,28.410300°
Khuthalani Primary School,-25.713032,28.386976°
Legora Primary School,-25.727767°,28.420317°
Mahlasedi - Masana Primary School,-25.716300°,28.418950°
Meetse-A-Bophelo School,-25.721810°,28.418740°
Ramahlale Primary School,-25.710929°,28.404202°
Zakhele Primary School,-25.706450°,28.379483°
Sipho Komane Secondary School,-25.744240°,28.355340°
Tsako Thabo Secondary School,-25.709317°,28.371600°
BOPHELONG COMMUNITY INDEPENDENT SCHOOL,-25.716730°,28.378370°
Rephafogile Secondary,-25.720310°,28.433570°
Koos Matli primary school,-25.707960°,28.390670°
Nellmapius Lethabong Secondary School,-25.733186°,28.384556°
Nellmapius Primary School,-25.731910°,28.376690°
Mahube Valey Secondary School,-25.700370°,28.412210°
Sediba sa Thuto,-25.727467°,28.433950°
Impendulo Primary,-25.723160°,28.438510°
Mahlenga Secondary School,-25.601300°,28.894660°
Mkhambi Primary School,-25.606170°,28.879310°
Sikhulisile Primary School,-25.663260°,28.737470°
Ekangala Comprehensive High School,-25.697510°,28.746790°
Hlabelela Primary School,-25.695340°,28.751640°
Hlolisisa Primary,-25.688360°,28.745600°
Rethabisang Primarty School,-25.724750°,28.715090°
Sihluziwe Primary School,-25.657510°,28.727130°
Zivuseni Combined School,-25.676310°,28.725390°
Mandlomsobo Combined School,-25.668130°,28.725750°
Jabulani Private Primary,-25.685140°,28.712170°
Kgoro Primary School,-25.787640°,28.719680°
Mshuluzane Mayisela Primary School,-25.774570°,28.718820°
Zithobeni Secondary School,-25.776650°,28.729290°
Wozanibone Secondary,-25.905130°,28.530580°
Strauss Secondary School,-25.678026°,28.737975°
Bronkhorst spruit Prim School,-25.809040°,28.710130°
Cultura High School,-25.824870°,28.738840°
Hoerskool Erasmus,-25.812870°,28.733960°
Soshanguve College,-25.538857°,28.098797°
Soshanguve College,-25.541160°,28.097960°
Soshanguve College,-25.543240°,28.097230°
Soshanguve College,-25.545338°,28.096425°
Soshanguve College,-25.546218°,28.095748°
Tshwane university of Technology,-25.723420°,28.180740°
Ga-Rankuwa TUT,-25.618320°,28.002670°
Prestige College,-25.430440°,28.273010°
Temba Technical College,-25.389820°,28.258040°
University of Pretoria,-25.405870°,28.263500°
TUT Weir Street,-25.726610°,28.162470°
BOKGONI TECHNICAL SECONDARY SCHOOL,-25.764417°,28.085367°
Tswane South College,-25.767240°,28.089800°
Zandfontein Traffic Collage,-25.713780°,28.076340°
Corner Stone College,-25.728037°,28.298922°
Technicon PTA West,-25.732680°,28.158470°
Tswane West College,-25.762040°,28.135810°
Pretoria Noord Tutela Campus,-25.681340°,28.163130°
Star College Equestria,-25.769028°,28.333639°
Varsity college,-25.775580°,28.282500°
Magnolia Dell,-25.762362°,28.220431°
Crawford College,-25.765722°,28.215417°
Christian Brothers College,-25.737090°,28.270190°
SG Lourens Nursing College,-25.737403°,28.198478°
Tshwane north college,-25.748420°,28.181120°
Lebone college,-25.739875°,28.202943°
Unisa Sunnyside Campus 2,-25.757770°,28.198310°
Tshwane North College 1,-25.745659°,28.198113°
Tshwane North College 2,-25.745659°,28.198113°
Tshwane North College 3,-25.745659°,28.198113°
Tshwane North College 4,-25.745659°,28.198113°
Tshwane North Campus CBD 1,-25.540645°,28.096905°
Tshwane North Campus CBD 2,-25.540645°,28.096905°
Tshwane North Campus CBD 3,-25.540645°,28.096905°
Tshwane North Campus CBD 4,-25.540645°,28.096905°
Tshwane North Campus CBD 5,-25.540645°,28.096905°
Sesegong Metro Police Training College,-25.775800°,28.086360°
University of Pretoria TUT,-25.702287°,28.361117°
Metro Police Training College,-25.704280°,28.365390°
Makgoba Sebothoma Community Hall,-25.377440°,28.246150°
Odirile Centre,-25.384030°,28.244530°
Suurman Community Hall,-25.382090°,28.220310°
Olievenhout Bosch Disability Centre,-25.915030°,28.092200°
Thaba Tshwane Islamic Centre Trust,-25.805970°,28.140870°
Centurion Cc,-25.835267°,28.196417°
Accommodation Hall TLMA,-25.739585°,28.164360°
Wi-Fi Tv 2 (Apollo Buildings),- 25.747470°,28.169747°
Jacaranda kinder huis,-25.694760°,28.290820°
Stanza Bopape Community Health Centre,-25.705290°,28.394680°
Eersterust Welfare Organisation,-25.703730°,28.311090°
Zithobeni Municipal Key Site,-25.783780°,28.719840°
Ekangala Community Hall,-25.697636°,28.751986°
Ekangala Sec_F Makhakane Community Hall,-25.697750°,28.752110°
Rethabiseng Municipal Key Site,-25.718660°,28.712340°
Sinoville Tennis Club,-25.673800°,28.219067°
Villeria Tennis Club,-25.722139°,28.219389°
Hammanskraal Sport Centre,-25.402130°,28.293290°
Temba staduim,-25.377790°,28.248610°
Temba Swimming Pool,-25.378352°,28.245667°
Hermanstad soccer club,-25.720080°,28.159750°
Garsfontein Tennis and Skate Park,-25.788910°,28.285950°
Belgrave club,-25.751870°,28.238060°
Murray Field Tennis Courts,-25.749200°,28.298640°
Pilditch Stadium,-25.751420°,28.163820°
Annlin Tennis Club,-25.681639°,28.197444°
Rolbal Club,-25.713610°,28.234680°
Villieria sport club,-25.722190°,28.237800°
Zambesi tennis Club,-25.687780°,28.258610°
Pierre Van Reyneveldt Teninis Courts,-25.842583°,28.243817°
Monument Park Tennis Club,-25.803780°,28.234520°
RIF Tennis Club,-25.812111°,28.242111°
Gezina Netbal Club & Korbal Park,-25.716860°,28.206990°
Silver Park Tennis,-25.761590°,28.318920°
Brooklyn Bowling Club,-25.764639°,28.235000°
Lynnwood Tennis Club,-25.759167°,28.260861°
Brooklyn Union Tennis Club,-25.762780°,28.239860°
Saulsville Sports Arena,-25.769150°,28.063040°
Atteridgeville Stadium,-25.775830°,28.072450°
Centurion Wreseling Club,-25.848610°,28.154070°
Eldoraigne Tennis Club,-25.849058°,28.153719°
Eldoraigne Matsport Centre,-25.848830°,28.155500°
Valhalla Tennis Club,-25.812350°,28.152500°
Weirda Park Tennis Club,-25.856944°,28.145361°
Centurion Jukskei Club,-25.855770°,28.193230°
Centurion Racing Pigeon Club,-25.848143°,28.140475°
Clubview Tennis,-25.834980°,28.175380°
Centurion Squash Club,-25.835514°,28.175017°
Centurion Rugby Club,-25.857290°,28.194950°
Lyttelton Library 259 West Ave,-25.851520°,28.188790°
Cest La Via Play Park,-25.842884°,28.175897°
Doringkloof Tennis Club,-25.853280°,28.206280°
Centurion Blues,-25.820528°,28.208111°
Centurion Bouling Club,-25.825600°,28.208600°
Centurion Gymnastics Club,-25.858470°,28.196230°
Centurion Netball Club,-25.826211°,28.207774°
Centurion Racing Yacht Club,-25.851933°,28.184669°
Zwartkop Driving Range,-25.823887°,28.165400°
Eagles Karate Club,-25.854270°,28.165590°
Mets Baseball Club,-25.806500°,28.150067°
Laudium Bowling Club,-25.791620°,28.105410°
Laudium Cricket club,-25.789760°,28.095560°
Laudium Football Association,-25.788770°,28.093730°
Laudium Tennis Club,-25.788814°,28.100646°
Eersterust cricket stadium,-25.701090°,28.315660°
Eersterus sport staduim,-25.714860°,28.305270°
Mamelodi West Cricket Club,-25.706850°,28.346080°
Nelmapius Swimming Pool,-25.745340°,28.357420°
Mamelodi softball club,-25.709833°,28.377419°
Mamelodi Cricket Club Ext5,-25.708550°,28.401860°
Bronkhorstpruit Stadium,-25.808206°,28.731536°
Zithobeni Sport Stadium,-25.783240°,28.719810°
Sinoville Metro Police,-25.678290°,28.217440°
Hammanskraal Metro Police,-25.403669°,28.287825°
Madiba 1 Metro Police (R3s2),-25.74689°,28.17733°
CBD Metro Police,-25.739850°,28.183780°
Metro Police Office-War Room,-25.749160°,28.172120°
Metro Police (Phillip Nel R3S1),-25.740780°,28.137190°
Centurion Metropolatan police station,-25.826930°,28.205140°
Centurion Licensing Service,-25.890997°,28.182576°
Bronkhostspruit Metro Police,-25.810460°,28.743760°
Mabopane Metro Police,-25.508070°,28.041470°
Mabopane SAPS,-25.511610°,28.057240°
Mabopane Skills Centre,-25.502750°,28.048680
ODI district hospital,-25.595460°,28.108520°
Giant Stadium,-25.518400°,28.087900°
Sosh-Drive inn P1,-25.522890°,28.100510°
Sosh-Drive inn P2,-25.523360°,28.099710°
Mabophane unit D,-25.521520°,28.070260°
Retlotleng Womens Organisation,-25.488290°,28.053270°
Klipkruis FOUNTAINS Resort,-25.581940°,28.092740°
Ground supermarket,-25.599560°,28.090460°
Ronny's,-25.593290°,28.064170°
Grown Supermarket,-25.585600°,28.049690°
Ekasi Labs,-25.604870°,28.008600°
Ga-Rankuwa Sport Stadium,-25.592030°,27.994290°
Ga-Rankuwa Community Hall,-25.616340°,27.986650°
Falala Gymnasium,-25.511010°,28.106270°
Itsoseng phase 6,-25.544310°,28.062160°
Maunde City,-25.467510°,28.071060°
Mehlareng Inn,-25.535100°,28.083350°
Camera Pole 29- C/O Prospect & Hilda,-25.752212°,28.235443°
Kirkney Church,-25.719980°,28.099960°
Metro Police Winternest,-25.648170°,28.128900°
Enoch Sontonga stasion,-25.727240°,28.187540°
Deetlefs ave,-25.637960°,28.090360°
Holy Cross Home,-25.702560°,28.142570°
SEETSA/SA/KWEDI,-25.467450°,28.118570°
Sosh Bakery,-25.448450°,28.112733°
Doornpoort Airport Satellite,-25.648321,28.236369
khomanane burial home,-25.364820°,28.308220°
Camera Pole 215 - C/O Dely & Lois,-25.795601°,28.269590°
Camera Pole 64 - C/O Mogul & 7th,-25.739180°,28.176704°
Camera Pole 65 C/O Bloed & 7th,-25.741869°,28.176960°
Camera Pole 45- C/O Spuy & Verdoorn,-25.754701°,28.215143°
Camera Pole 51- C/O Robert Sobukwe & Celliers,-25.752753°,28.206373°
Camera Pole 53 - C/O Mogul & 7th,-25.751577°,28.203667°
Camera Pole 230 - C/O Middel & Dey,-25.771660°,28.230618°
Camera Pole 9 C/O Andies and Church,-25.746340°,28.190510°
Camera Pole 10 C/O Andries & Pretorius,-25.747662°,28.190748°
Camera Pole 20-C/O Struben & du Toit,-25.74126°,28.19737°
Camera Pole 23- Sammy Marks Square,-25.746226°,28.193912°
Camera Pole 24- C/O Church & Central,-25.746172°,28.191975°
Camera Pole 62 - C/O Boom & Andries,-25.739002°,28.189756°
Camera Pole 71 C/O Bosman & Scheiding,-25.75691°,28.18639°
Camera Pole 72 C/O Paul Kruger & Scheiding,-25.756903°,28.188991°
Camera Pole 74 C/O Park & Leyds,-25.74916°,28.20930°
Camera Pole 75 C/O Bourhe & Walton Jameson,-25.751982°,28.210595°
Camera Pole 84 C/O Francis Baard & Eastwood,-25.74691°,28.22243°
Camera Pole 93 C/O Justice Mahomed & Leyds,-25.758641°,28.205138°
Camera Pole 94 C/O Bloed & Sisulu,-25.742473°,28.182921°
Camera Pole 104 C/O Boom & Schubart,-25.73943°,28.18282°
Camera Pole 105 C/O Struben & Potgieter,-25.74240°,28.18026°
Camera Pole 111 C/O Nana Sita & Prince's Park,-25.751070°,28.178737°
Camera Pole 130 C/O Rissik & Steve Biko,-25.75628°,28.20111°
Camera Pole 152 C/O Johannes Ramokgoase & Mandela,-25.742634°,28.199582°
Camera Pole 155 C/O Andries & Minnaar,-25.753614°,28.191211°
Camera Pole 164 - C/O Paul Kruger & Vermeulen,-25.745143°,28.187898°
C/O Kotze Street and Meintjies Street,-25.751991°,28.200471°
C/O Kotze Street and Bourke Street,-25.755563°,28.208523°
Prospectus Novus,-25.706737°,28.185737°
IDC,-25.744510°,28.243540°
Pretoria Art Museum,-25.749550°,28.213320°
Pretoria Art Museum,-25.747930°,28.213850°
Tjaart Van Vuuren,-25.705530°,28.236120°
Tshegofatsong,-25.726180°,28.386240°
Fizz Box-1,-25.746450°,28.188830°
Fizz Box-2,-25.745840°,28.187940°
Fizz Box-3,-25.747040°,28.188300°
Fizz Box-4,-25.746440°,28.187310°
Union buildings 3,-25.443848,28.123880
Union buildings 6,-25.444101,28.124006
Morotolola Café,-25.744040°,28.068340°
Old Fire Station,-25.753570°,28.186020°
Monument Poort,-25.667240°,28.173130°
DERDEPOORT Recreational,-25.691990°,28.290070°
Collin's Mini Market,-25.782250°,28.053560°
Waboom,-25.764100°,28.110460°
Wonderboom Airport,-25.658210°,28.214610°
Wonderboom Nature reserve,-25.686700°,28.190080°
Fountains 1,-25.779020°,28.194930°
Fountains 2,-25.780440°,28.195160°
Fountains 3,-25.781690°,28.194930°
Fountains 4,-25.783610°,28.195340°
Fountains 5,-25.785120°,28.195750°
Fountains 6,-25.788610°,28.199340°
Fountains 7,-25.788140°,28.199250°
Ga Mothakga Resort,-25.762890°,28.069060°
BM supermarket,-25.920460°,28.102470°
Steve Tshwete,-25.908283°,28.094217°
Oliven Steel Supplies,-25.898460°,28.088200°
Valhalla Dodgers,-25.808417°,28.147833°
Angvivk rd bus stop,-25.797930°,28.152650°
Camera Pole 175 C/O Protea & Lupin (Dooringkloof Mall),-25.855948°,28.217480°
Station Road Junction,-25.835620°,28.209950°
Itereleng Taxi Rank,-25.787050°,28.078830°
Natimba Drop Off Centre,-25.712510°,28.401790°
Stanza Bopape IT Centre,-25.713450°,28.401160°
Denneboom Taxi Rank,-25.718630°,28.338460°
Mamelodi CarWash,-25.717440°,28.355210°
Nantes Primer,-25.711980°,28.321550°
Petroleum Depot,-25.723621°,28.309216°
Metro Police Regional office,-25.713770°,28.328600°
Tjos Supermarket,-25.721570°,28.408650°
Sensitive Tuck Shop,-25.731050°,28.444500°
Save More Supermarket,-25.736340°,28.390320°
Die Draai X 1,-25.797800°,28.730960°
Die Draai X 2,-25.797920°,28.731590°
Die Draai X 3,-25.798003°,28.732297°
Die Draai X 4,-25.798470°,28.733120°
Die Draai X 5,-25.797814°,28.731022°
Muniforum Bld,-25.809590°,28.742819°
Ekandasria refactory minerals,-25.682018°,28.697522°
Hosana Shop,-25.791300°,28.728690°
